System,Name,Year,ROM Name,Players,Joystick Input,Other Input,Buttons,Vertical,Manufacturers,Player Legends 2,Retro Arcade 2 Elites,Other CoinOps
arcade,Fast Lane,1987,roboarmy,2,8 way,none,4,HORIZONTAL NEOGEO,SNK,No,No,Yes
arcade,Fatal Fury 2,1992,robocop,2,8 way,none,2,HORIZONTAL,Data East,No,Yes,Maybe
arcade,Fatal Fury 3: Road to the Final Victory,1995,robocop2,2,8 way,none,3,HORIZONTAL,Data East,No,No,Yes
arcade,Fatal Fury Special,1993,robotron,2,twin stick,none,0,HORIZONTAL,Williams / Vid Kidz,No,Yes,Maybe
arcade,Fatal Fury: King of Fighters,1991,rocnrope,2,4 way,none,2,VERTICAL,Konami,No,No,Yes
arcade,Fever SOS,1998,rodland,2,8 way,none,2,HORIZONTAL,Jaleco,No,No,Yes
arcade,Fight Fever,1994,rotd,2,8 way,none,4,HORIZONTAL NEOGEO,Evoga / Playmore,No,No,Yes
arcade,Fighter & Attacker,1992,rpunch,4,8 way,none,2,HORIZONTAL,V-System Co. / Bally/Midway/Sente license,No,No,Yes
arcade,Fighter's History,1993,rsgun,2,8 way,none,4,HORIZONTAL,Treasure,No,No,Yes
arcade,Fighting Hawk,1988,rthun2,2,8 way,none,3,HORIZONTAL,Namco,No,No,Yes
arcade,Fighting Soccer,1988,rthunder,4,4 way,dial,2,HORIZONTAL,Namco,No,No,Yes
arcade,Final Blow,1988,rtype,2,8 way,none,4,HORIZONTAL,Irem,No,No,Yes
arcade,Final Fight,1989,rtype2,2,8 way,none,4,HORIZONTAL,Irem,Yes,Yes,Maybe
arcade,Final Fight Revenge,1999,rtypeleo,2,8 way,none,2,HORIZONTAL,Irem,No,No,Yes
arcade,Final Lap,1987,rungun,1,8 way,pedal / paddle,3,HORIZONTAL,Konami,No,No,Yes
arcade,"Final Round, The",1988,rungun2,2,8 way,none,3,HORIZONTAL,Konami,No,Yes,Maybe
arcade,Final Star Force,1992,rvschool,2,8 way,none,6,HORIZONTAL,Capcom,No,No,Yes
arcade,Finalizer: Super Transformation,1985,rygar,2,8 way,none,2,HORIZONTAL,Tecmo,No,No,Yes
arcade,Fire Barrel,1993,s1945,2,8 way,none,3,VERTICAL,Psikyo,No,No,Yes
arcade,Fire Fox,1984,s1945ii,1,8 way,stick,2,VERTICAL,Psikyo,No,No,Yes
arcade,Fire Shark,1990,s1945iii,2,8 way,none,3,VERTICAL,Psikyo,No,No,Yes
arcade,Fire Trap,1986,s1945p,2,8 way,none,4,HORIZONTAL NEOGEO,Psikyo,No,No,Yes
arcade,Five a Side Soccer,1995,sailormn,2,8 way,trackball,3,HORIZONTAL,Gazelle / Banpresto license,No,No,Yes
arcade,FixEight,1992,salamand,3,8 way,none,2,HORIZONTAL,Konami,No,No,Yes
arcade,Flashgal,1985,salmndr2,2,8 way,none,3,HORIZONTAL,Konami,No,No,Yes
arcade,Flicky,1984,samsh5sp,2,8 way,none,4,HORIZONTAL NEOGEO,Yuki Enterprise / SNK Playmore,Yes,Yes,Maybe
arcade,Flying Shark,1987,samsho,2,8 way,none,4,HORIZONTAL NEOGEO,SNK,Yes,Yes,Maybe
arcade,Flying Tiger,1992,samsho2,2,8 way,none,4,HORIZONTAL NEOGEO,SNK,No,No,Yes
arcade,Food Fight,1982,samsho3,2,8 way,stick,4,HORIZONTAL NEOGEO,SNK,No,Yes,Maybe
arcade,Football Champ,1990,samsho4,4,8 way,none,4,HORIZONTAL NEOGEO,SNK,No,No,Yes
arcade,Football Frenzy,1992,samsho5,2,8 way,none,4,HORIZONTAL NEOGEO,Yuki Enterprise / SNK Playmore,No,No,Yes
arcade,Forgotten Worlds,1988,savagere,2,8 way,dial,4,HORIZONTAL NEOGEO,SNK,Yes,Yes,Maybe
arcade,Formation Z,1984,sbagman,2,4 way,none,2,VERTICAL,Valadon Automation,No,No,Yes
arcade,Frenzy,1981,sbomber,2,8 way,none,2,VERTICAL,Psikyo,No,No,Yes
arcade,Frisky Tom,1981,sci,2,analog,none,5,HORIZONTAL,Taito,No,No,Yes
arcade,Frogger,1981,scobra,2,8 way,none,2,VERTICAL,Konami,Yes,Yes,Maybe
arcade,Front Line,1982,scontra,2,8 way,none,2,VERTICAL,Konami,Yes,Yes,Maybe
arcade,Funky Jet,1992,scramble,2,8 way,none,2,VERTICAL,Konami,No,No,Yes
arcade,Future Spy,1984,scross,2,8 way,none,3,HORIZONTAL,SEGA,No,No,Yes
arcade,G-Darius,1997,sdodgeb,4,8 way,none,4,HORIZONTAL NEOGEO,Technos Japan / Tecmo,No,No,Yes
arcade,G-Darius Ver.2,1997,searchar,4,8 way,none,2,VERTICAL,SNK,No,No,Yes
arcade,G-LOC Air Battle,1990,sectionz,1,8 way,stick,2,HORIZONTAL,Capcom,No,No,Yes
arcade,G-Stream G2020,2002,seganinj,2,8 way,none,3,HORIZONTAL,SEGA,No,No,Yes
arcade,G.I. Joe,1992,sengoku3,4,8 way,none,4,HORIZONTAL NEOGEO,Noise Factory / SNK,Yes,Yes,Maybe
arcade,"GP Rider (World, FD1094 317-0163)",1990,sexyparo,2,8 way,pedal / paddle,3,HORIZONTAL,Konami,No,No,Yes
arcade,Gaia Crusaders,1999,sf,2,8 way,none,6,HORIZONTAL,Capcom,No,No,Yes
arcade,Gaia: The Last Choice of Earth,1999,sf2,2,8 way,none,6,HORIZONTAL,Capcom,No,No,Yes
arcade,Gaiapolis,1993,sf2ce,4,8 way,none,6,HORIZONTAL,Capcom,No,No,Yes
arcade,Gain Ground,1988,sf2hf,3,8 way,none,6,HORIZONTAL,Capcom,No,No,Yes
arcade,Galactic Storm,1992,sfa,1,8 way,stick,6,HORIZONTAL,Capcom,No,No,Yes
arcade,Galactic Warriors,1985,sfa2,2,8 way,none,6,HORIZONTAL,Capcom,No,No,Yes
