System,Description,Year,ROM Name,Players,ctrlType,Other Input,Buttons,Vertical,Manufacturers,Player Legends 2,Retro Arcade 2 Elites,Other CoinOps
arcade,Splat!,1981,splat,2,twin stick,none,0,HORIZONTAL,Williams,No,No,Yes
arcade,Sprint 1,1979,sprint1,2,analog,none,5,HORIZONTAL,Atari / Kee Games,No,No,Yes
arcade,Sprint 2,1991,sprint2,2,analog,none,6,HORIZONTAL,Atari / Kee Games,No,Yes,Maybe
arcade,Spy Hunter 2,1992,spyhunt2,3,analog,none,7,HORIZONTAL,Bally Midway,Yes,Yes,Maybe
arcade,Squash,1983,squash,2,8 way,none,2,HORIZONTAL,Gaelco / Itisa,No,Yes,Maybe
arcade,Stack Columns,1996,stkclmns,4,8 way,none,2,HORIZONTAL,SEGA,No,No,Yes
arcade,Stakes Winner,1991,stakwin,2,8 way,none,4,HORIZONTAL NEOGEO,Saurus,No,No,Yes
arcade,Stakes Winner 2,1989,stakwin2,2,8 way,none,4,HORIZONTAL NEOGEO,Saurus,No,No,Yes
arcade,Star Castle,1989,starcas,2,4 way,none,2,HORIZONTAL,Cinematronics,Yes,Yes,Maybe
arcade,Star Hawk,1992,starhawk,4,8 way,none,4,HORIZONTAL,Cinematronics,Yes,Yes,Maybe
arcade,Star Jacker,1982,starjack,2,8 way,none,2,VERTICAL,SEGA,No,No,Yes
arcade,Stone Ball,1989,stonebal,2,8 way,none,3,HORIZONTAL,Art & Magic,Yes,Yes,Maybe
arcade,Strata Bowling,1994,stratab,2,trackball,none,2,VERTICAL,Strata/Incredible Technologies,Yes,Yes,Maybe
arcade,Stratovox,1993,stratvox,2,4 way,none,1,VERTICAL,Sun Electronics / Taito,No,No,Yes
arcade,Street Fighter Alpha 3,1994,sfa3b,1,8 way,pedal / stick,6,HORIZONTAL,Capcom,No,No,Yes
arcade,Street Fighter Zero 2 Alpha,1985,sfz2al,2,8 way,none,6,HORIZONTAL,Capcom,No,No,Yes
arcade,Street Football,1992,sfootbal,2,analog,none,1,HORIZONTAL,Bally/Sente,Yes,Yes,Maybe
arcade,Strike Gunner S.T.G,1980,stg,2,8 way,none,3,VERTICAL,Athena / Tecmo,Yes,No,Maybe
arcade,Success Joe,1986,scessjoe,2,4 way,none,2,HORIZONTAL,Taito / Wave,Yes,Yes,Maybe
arcade,Sunset Riders,1988,ssriders,2,8 way,none,2,HORIZONTAL,Konami,No,Yes,Maybe
arcade,Super Bubble 2003,2009,sb2003,2,8 way,none,4,HORIZONTAL,Limenko,Yes,Yes,Maybe
arcade,Super Burger Time,1987,supbtime,2,8 way,none,2,HORIZONTAL,Data East,No,No,Yes
arcade,Super Dodge Ball,1987,spdodgeb,2,8 way,none,2,HORIZONTAL,Technos Japan,No,No,Yes
arcade,Super Glob,1999,suprglob,2,8 way,trackball,2,VERTICAL,Epos Corporation,No,No,Yes
arcade,Super High Impact,1992,shimpact,2,8 way,none,1,HORIZONTAL,Midway,No,Yes,Maybe
arcade,Super Moon Cresta,1993,smooncrs,2,4 way,none,1,VERTICAL,bootleg / Gremlin,No,No,Yes
arcade,Super Pac-Man,1994,superpacm,2,4 way,none,1,VERTICAL,Namco / Bally Midway license,No,No,Yes
arcade,Super Ranger,1995,sranger,2,8 way,none,2,HORIZONTAL,SunA,Yes,Yes,Maybe
arcade,Super Real Darwin,1993,srdarwin,2,8 way,paddle / dial,2,VERTICAL,Data East,Yes,Yes,Maybe
arcade,Super Sidekicks,1995,ssideki,2,8 way,paddle,4,HORIZONTAL NEOGEO,SNK,No,No,Yes
arcade,Super Sidekicks 2: The World Championship,1987,ssideki2,2,8 way,positional,4,HORIZONTAL NEOGEO,SNK,No,No,Yes
arcade,Super Slam,1989,sslam,2,8 way,none,3,HORIZONTAL,Playmark,No,No,Yes
arcade,Super Stingray,1985,sstingry,2,8 way,none,2,VERTICAL,Alpha Denshi Co.,No,No,Yes
arcade,Super Trio,1989,suprtrio,2,8 way,none,3,HORIZONTAL,Gameace,Yes,Yes,Maybe
arcade,Super Volleyball,1992,svolley,4,8 way,none,2,HORIZONTAL,V-System Co.,Yes,Yes,Maybe
arcade,Super Xevious,1996,sxevious,2,8 way,none,2,VERTICAL,Namco,Yes,Yes,Maybe
arcade,Super-X,1994,superx,2,8 way,none,4,VERTICAL,Dooyong / NTC license,Yes,Yes,Maybe
arcade,Superior Soldiers,2002,ssoldier,4,8 way,none,6,HORIZONTAL,Irem America,No,No,Yes
arcade,Surprise Attack,1986,suratk,2,8 way,none,2,HORIZONTAL,Konami,Yes,Yes,Maybe
arcade,Survival Arts,1987,survarts,3,8 way,none,6,HORIZONTAL,Sammy,Yes,Yes,Maybe
arcade,Susume! Mile Smile,1982,gogomile,2,8 way,none,1,HORIZONTAL,Fuuki,Yes,Yes,Maybe
arcade,Syvalion,1995,syvalion,4,trackball,none,1,HORIZONTAL,Taito,No,No,Yes
arcade,TH Strikes Back,1991,thoop2,2,8 way,none,3,HORIZONTAL,Gaelco,Yes,Yes,Maybe
arcade,Tag Team Wrestling,1991,tagteam,2,8 way,none,2,VERTICAL,Technos Japan / Data East,No,No,Yes
arcade,Tailgunner,1987,tailg,2,analog,none,2,HORIZONTAL,Cinematronics,No,No,Yes
arcade,Taito Cup Finals,1985,cupfinal,2,8 way,none,4,HORIZONTAL,Taito,Yes,Yes,Maybe
