System,ROM Name,Description,ISVERTICAL,FW Reborn,LEGENDS,FW Atarashii,INSERT COIN,FOCUS,FW Atarashii Gems,FW Atarashii Mini,FW Atarashii Micro,Vertical,Year,numberPlayers,ctrlType,Buttons,Simple Manufacturer,Joystick Input,Other Input,Manufacturers
arcade,gametngk,"Game Paradise, The: Master of Shooting!",,,,,,,,,,VERTICAL,1995,2,8 way,5,Other,joy8way,,Jaleco
arcade,garyoret,Garyo Retsuden,,,,,,,,,,HORIZONTAL,1987,2,8 way,2,Data East,joy8way,,Data East
arcade,gatedoom,Gate of Doom,,,,,,,,,,HORIZONTAL,1990,2,8 way,2,Data East,joy8way,,Data East
arcade,gauntlet,Gauntlet,,,,,,,,,,HORIZONTAL,1985,4,8 way,2,Atari,joy8way,,Atari Games / Atari
arcade,gaunt2,Gauntlet 2,,,,,,,,,,HORIZONTAL,1986,4,8 way,2,Atari,joy8way,,Atari Games / Atari
arcade,gekiridn,Gekirindan,,,,,,,,,,VERTICAL,1995,4,8 way,4,Taito,joy8way,dial,Taito
arcade,gemini,Gemini Wing,,,,,,,,,,VERTICAL,1987,2,8 way,2,Tecmo,joy8way,,Tecmo
arcade,genix,Genix Family,,,,,,,,,,HORIZONTAL,1994,2,8 way,3,Other,joy8way,,NIX
arcade,genpeitd,Genpei ToumaDen,,,,,,,,,,HORIZONTAL,1986,2,8 way,2,Namco,joy8way,,Namco
arcade,ghostlop,Ghostlop,,,,,,,,,,HORIZONTAL NEOGEO,1996,2,8 way,4,Neo Geo,joy8way,,Data East
arcade,gigandes,Gigandes,,,,,,,,,,HORIZONTAL,1989,2,8 way,2,Other,joy8way,,East Technology
arcade,yamagchi,Go Go Mr. Yamaguchi,,,,,,,,,,VERTICAL,1985,2,8 way,2,Taito,joy8way,,Kaneko / Taito
arcade,goalx3,Goal! Goal! Goal!,,,,,,,,,,HORIZONTAL NEOGEO,1995,2,8 way,4,Neo Geo,joy8way,,Visco
arcade,plegends,Gogetsuji Legends,,,,,,,,,,HORIZONTAL,1995,2,8 way,4,Other,joy8way,,Atlus
arcade,gokuparo,Gokujyou Parodius,,,,,,,,,,HORIZONTAL,1994,4,8 way,3,Konami,joy8way,,Konami
arcade,goldmedl,Gold Medalist,,,,,,,,,,HORIZONTAL,1988,4,buttons only,3,SNK,,only_buttons,SNK
arcade,gt99,Golden Tee '99,,,,,,,,,,HORIZONTAL,1999,2,trackball,2,Other,,trackball,Incredible Technologies
arcade,gtg,Golden Tee Golf,,,,,,,,,,HORIZONTAL,1990,2,8 way,1,Other,joy8way,,Strata/Incredible Technologies
arcade,gtg2,Golden Tee Golf 2,,,,,,,,,,HORIZONTAL,1992,2,trackball,2,Other,,trackball,Strata/Incredible Technologies / Strata
arcade,gondo,Gondomania,,,,,,,,,,VERTICAL,1987,2,8 way,2,Data East,joy8way,positional,Data East
arcade,gradius4,Gradius 4: Fukkatsu,,,,,,,,,,HORIZONTAL,1998,2,8 way,3,Konami,joy8way,,Konami
arcade,f1gpstar,Grand Prix Star,,,,,,,,,,HORIZONTAL,1992,1,analog,2,Other,,pedal / paddle,Jaleco
arcade,gratia,Gratia: Second Earth,,,,,,,,,,HORIZONTAL,1996,2,8 way,5,Other,joy8way,,Jaleco
arcade,gseeker,Grid Seeker: Project Storm Hammer,,,,,,,,,,VERTICAL,1992,4,8 way,4,Taito,joy8way,dial,Taito
arcade,grindstm,Grind Stormer,,,,,,,,,,VERTICAL,1992,2,8 way,2,Toaplan,joy8way,,Toaplan
arcade,grobda,Grobda,,,,,,,,,,VERTICAL,1984,2,8 way,2,Namco,joy8way,,Namco
arcade,grdforce,Guardian Force,,,,,,,,,,HORIZONTAL,1998,4,8 way,4,Other,joy8way,,Success
arcade,grdnstrm,Guardian Storm,,,,,,,,,,HORIZONTAL,1998,2,8 way,2,Other,joy8way,,Afega / Apples Industries license
arcade,gulfstrm,Gulf Storm,,,,,,,,,,VERTICAL,1991,2,8 way,2,Other,joy8way,,Dooyong
arcade,gulfwar2,Gulf War 2,,,,,,,,,,VERTICAL,1991,2,8 way,2,Other,joy8way,,Comad
arcade,gunfront,Gun & Frontier,,,,,,,,,,VERTICAL,1990,2,8 way,2,Taito,joy8way,,Taito
arcade,gunfight,Gun Fight,,,,,,,,,,HORIZONTAL,1975,2,8 way,1,Midway,joy8way,positional,Dave Nutting Associates / Midway
arcade,gunmast,Gun Master,,,,,,,,,,HORIZONTAL,1994,2,8 way,3,Other,joy8way,,Metro
arcade,gururin,Gururin,,,,,,,,,,HORIZONTAL NEOGEO,1994,2,8 way,4,Neo Geo,joy8way,,Face
arcade,guzzler,Guzzler,,,,,,,,,,VERTICAL,1983,2,4 way,1,Other,joy4way,,Tehkan / Tehkan Ltd.
arcade,hal21,HAL21,,,,,,,,,,VERTICAL,1985,2,8 way,2,SNK,joy8way,,SNK
arcade,hachamfb,Hacha Mecha Fighter,,,,,,,,,,HORIZONTAL,1991,2,8 way,2,Other,joy8way,,bootleg
arcade,hachoo,Hachoo!,,,,,,,,,,HORIZONTAL,1989,2,8 way,2,Other,joy8way,,Jaleco
arcade,hamaway,Hammer Away,,,,,,,,,,VERTICAL,1991,2,8 way,3,SEGA,joy8way,,SEGA / Santos
arcade,hangonjr,Hang-On Jr.,,,,,,,,,,HORIZONTAL,1985,1,analog,0,SEGA,,pedal / paddle,SEGA
arcade,hangzo,Hangzo,,,,,,,,,,HORIZONTAL,1992,2,8 way,3,Other,joy8way,,Hot-B
arcade,harddriv,Hard Drivin',,,,,,,,,,HORIZONTAL,1988,1,analog,0,Atari,,pedal / stick / paddle,Atari Games
arcade,hdrivair,Hard Drivin's Airborne,,,,,,,,,,HORIZONTAL,1993,1,analog,6,Atari,,pedal / stick / paddle,Atari Games
arcade,harddunk,Hard Dunk,,,,,,,,,,HORIZONTAL,1994,6,8 way,4,SEGA,joy8way,,SEGA
arcade,hardhat,Hard Hat,,,,,,,,,,HORIZONTAL,1982,1,4 way,1,Other,joy4way,,Exidy
arcade,hrdtimes,Hard Times,,,,,,,,,,HORIZONTAL,1994,2,8 way,3,Other,joy8way,,Playmark
arcade,hedpanic,Head Panic,,,,,,,,,,HORIZONTAL,2000,2,8 way,2,Other,joy8way,,ESD
arcade,hvymetal,Heavy Metal,,,,,,,,,,HORIZONTAL,1985,2,8 way,2,SEGA,joy8way,,SEGA
arcade,hvysmsh,Heavy Smash,,,,,,,,,,HORIZONTAL,1993,2,8 way,3,Data East,joy8way,,Data East
arcade,hvyunit,Heavy Unit,,,,,,,,,,HORIZONTAL,1988,2,8 way,2,Taito,joy8way,,Kaneko / Taito
arcade,hwchamp,Heavyweight Champ,,,,,,,,,,HORIZONTAL,1987,2,analog,0,SEGA,,stick,SEGA
arcade,helifire,HeliFire,,,,,,,,,,VERTICAL,1980,2,8 way,1,Nintendo,joy8way,,Nintendo
arcade,holo,Holosseum,,,,,,,,,,HORIZONTAL,1992,2,8 way,2,SEGA,joy8way,,SEGA
arcade,hoops96,Hoops '96,,,,,,,,,,HORIZONTAL,1996,4,8 way,4,Data East,joy8way,,Data East
arcade,horizon,Horizon,,,,,,,,,,HORIZONTAL,1985,2,8 way,2,Irem,joy8way,,Irem
arcade,hotrod,Hot Rod,,,,,,,,,,HORIZONTAL,1988,4,analog,0,SEGA,,pedal / dial,SEGA
arcade,hydra,Hydra,,,,,,,,,,HORIZONTAL,1990,1,analog,6,Atari,,pedal / stick,Atari Games
arcade,hyprduel,Hyper Duel,,,,,,,,,,HORIZONTAL,1993,2,8 way,3,Other,joy8way,,Technosoft
arcade,hyperpac,Hyper Pacman,,,,,,,,,,HORIZONTAL,1995,2,8 way,3,Other,joy8way,,SemiCom
arcade,imsorry,I'm Sorry,,,,,,,,,,HORIZONTAL,1985,2,8 way,2,SEGA,joy8way,,Coreland / SEGA
arcade,inferno,Inferno,,,,,,,,,,HORIZONTAL,1984,2,twin stick,1,Williams,doublejoy8way,,Williams
arcade,intrepid,Intrepid,,,,,,,,,,VERTICAL,1983,2,8 way,1,Other,joy8way,,Nova Games Ltd.
arcade,invrvnge,Invader's Revenge,,,,,,,,,,VERTICAL,1980,2,4 way,1,Other,joy2way,,Zenitone-Microsec Ltd.
arcade,ironfort,Iron Fortress,,,,,,,,,,HORIZONTAL,1998,2,8 way,2,Other,joy8way,,Eolith
arcade,offroad,Ironman Ivan Stewart's Super Off-Road,,,,,,,,,,HORIZONTAL,1989,3,analog,1,Other,,pedal / dial,Leland Corporation / Leland Corp.
arcade,jchan2,Jackie Chan in Fists of Fire,,,,,,,,,,HORIZONTAL,1995,2,8 way,4,Other,joy8way,,Kaneko
arcade,jchan,Jackie Chan: The Kung-Fu Master,,,,,,,,,,HORIZONTAL,1995,2,8 way,4,Other,joy8way,,Kaneko
arcade,jockeygp,Jockey Grand Prix,,,,,,,,,,HORIZONTAL NEOGEO,2001,2,8 way,4,Neo Geo,joy8way,,Sun Amusement / BrezzaSoft
arcade,journey,Journey,,,,,,,,,,VERTICAL,1983,2,4 way,1,Midway,joy4way,,Bally Midway
arcade,jumpbug,Jump Bug,,,,,,,,,,VERTICAL,1981,2,8 way,1,Other,joy8way,,Hoei / Rock-Ola license
arcade,jcross,Jumping Cross,,,,,,,,,,VERTICAL,1984,2,8 way,2,SNK,joy8way,,SNK
arcade,jjack,Jumping Jack,,,,,,,,,,VERTICAL,1984,2,4 way,2,Other,joy4way,,Universal
arcade,jungleh,Jungle Hunt,,,,,,,,,,HORIZONTAL,1982,2,8 way,1,Taito,joy8way,,Taito
arcade,kabukiz,Kabuki-Z,,,,,,,,,,HORIZONTAL,1988,2,8 way,2,Taito,joy8way,,Kaneko / Taito
arcade,kaiserkn,Kaiser Knuckle,,,,,,,,,,HORIZONTAL,1994,2,8 way,6,Taito,joy8way,dial,Taito
arcade,kamikcab,Kamikaze Cabbie,,,,,,,,,,VERTICAL,1984,2,8 way,2,Data East,joy8way,,Data East
arcade,karatblz,Karate Blazers,,,,,,,,,,HORIZONTAL,1991,4,8 way,4,Other,joy8way,,Video System Co. / Video System
arcade,karatour,"Karate Tournament, The",,,,,,,,,,HORIZONTAL,1992,2,8 way,2,Other,joy8way,,Mitchell / Mitchell Corporation
arcade,karianx,Karian Cross,,,,,,,,,,HORIZONTAL,1996,2,4 way,3,Other,joy4way,,Deniam
arcade,karnovr,Karnov's Revenge,,,,,,,,,,HORIZONTAL NEOGEO,1994,2,8 way,4,Neo Geo,joy8way,,Data East / SNK
arcade,kickman,Kickman,,,,,,,,,,VERTICAL,1981,1,analog,1,Midway,,dial,Midway
arcade,kidniki,Kid Niki: Radical Ninja,,,,,,,,,,HORIZONTAL,1986,2,8 way,2,Irem,joy8way,,Irem
arcade,horekid,Kid no Hore Hore Daisakusen,,,,,,,,,,VERTICAL,1987,2,4 way,2,Other,joy4way,,Nichibutsu
arcade,killbld,"Killing Blade, The",,,,,,,,,,HORIZONTAL,1998,4,8 way,4,Other,joy8way,,IGS
arcade,kof94,"King of Fighters '94, The",,,,,,,,,,HORIZONTAL NEOGEO,1994,2,8 way,4,Neo Geo,joy8way,,SNK
arcade,kof96,"King of Fighters '96, The",,,,,,,,,,HORIZONTAL NEOGEO,1996,2,8 way,4,Neo Geo,joy8way,,SNK
arcade,kof97,"King of Fighters '97, The",,,,,,,,,,HORIZONTAL NEOGEO,1997,2,8 way,4,Neo Geo,joy8way,,SNK
arcade,kof2001,"King of Fighters 2001, The",,,,,,,,,,HORIZONTAL NEOGEO,2001,2,8 way,4,Neo Geo,joy8way,,Eolith / SNK
arcade,kof2003,"King of Fighters 2003, The",,,,,,,,,,HORIZONTAL NEOGEO,2003,2,8 way,4,Neo Geo,joy8way,,SNK Playmore / SNK
arcade,kov3,Knights of Valour 3,,,,,,,,,,HORIZONTAL,2011,4,8 way,4,Other,joy8way,,IGS / Huatong license
arcade,kovsh,Knights of Valour Super Heroes,,,,,,,,,,HORIZONTAL,1999,4,8 way,4,Other,joy8way,,IGS
arcade,kbash,Knuckle Bash,,,,,,,,,,HORIZONTAL,1993,2,8 way,3,Toaplan,joy8way,,Toaplan / Atari
arcade,kbash2,Knuckle Bash 2,,,,,,,,,,HORIZONTAL,1999,2,8 way,3,Other,joy8way,,bootleg
arcade,knckhead,Knuckle Heads,,,,,,,,,,HORIZONTAL,1992,4,8 way,3,Namco,joy8way,,Namco
arcade,pingpong,Konami's Ping-Pong,,,,,,,,,,HORIZONTAL,1985,2,4 way,2,Konami,joy2way,,Konami
arcade,strahl,Koutetsu Yousai Strahl,,,,,,,,,,HORIZONTAL,1992,2,8 way,2,Other,joy8way,,UPL
arcade,kroozr,Kozmik Kroozr,,,,,,,,,,HORIZONTAL,1982,1,analog,2,Midway,,stick / dial,Bally Midway
arcade,krull,Krull,,,,,,,,,,VERTICAL,1983,1,twin stick,0,Other,doublejoy8way,,Gottlieb
arcade,kyros,Kyros,,,,,,,,,,VERTICAL,1987,2,8 way,2,Other,joy8way,,Alpha Denshi Co. / World Games Inc. license
arcade,landmakr,Land Maker,,,,,,,,,,HORIZONTAL,1998,4,8 way,4,Taito,joy8way,dial,Taito
